"age","state","q1","q8a","q8b","q8c","q8d","q8e","q8f","q8g","q8h","q19","q20","q25","q25a","q36","q41","q44a","q44b","q44c","q44d","q44g","q44i","q45a","q46","employ","lwp","finan","home2","educ","health"
"25","WA","Very happy","Very important but not the most","One of the most important things","Somewhat important","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most","Yes","Less often","200",NA,"Not too closely","Strongly favor","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time",NA,"No","Rent","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"35","NY","Very happy","Very important but not the most","Very important but not the most","Not important","One of the most important things","Somewhat important","Not important","Very important but not the most","Somewhat important","Yes","About once a day","10",NA,"Fairly closely","Strongly favor","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time","Lived with current spouse before married","No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"36","ND","Very happy","Not important","One of the most important things","One of the most important things","One of the most important things","Not important","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Fairly closely","Strongly oppose","Yes","Yes","Yes","No",NA,"Yes","No",NA,"Full-time",NA,"No",NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"35","MO","Not too happy","Not important","Very important but not the most","One of the most important things","Very important but not the most","Very important but not the most","Not important","Somewhat important","Somewhat important","No",NA,"38",NA,"Not too closely","Strongly oppose","Yes","No","No","No","No","Yes","Yes","4","Not employed",NA,"Yes",NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"58","LA","Very happy","Not important","(VOL) Don't know/Refused","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","No","No",NA,NA,"Yes","No",NA,"Not employed",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"35","AR","Pretty happy","Not important","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Somewhat important","Yes","About once a day","5",NA,"Very closely","Favor","Yes","Yes","Yes","No","No","No","Yes","3","Part-time",NA,"No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"VOL DON'T KNOW/REFUSED","TX","Not too happy","One of the most important things","One of the most important things","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","About once a day","2",NA,"Very closely","Strongly oppose","Yes","No","(VOL) Don't know/Refused","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"62","AL","Pretty happy","Not important","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","One of the most important things","No",NA,NA,NA,"Fairly closely","Strongly oppose","No","No","Yes","No",NA,"No","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"19","NJ","Not too happy","One of the most important things","Somewhat important","Not important","Very important but not the most","Somewhat important","(VOL) Don't know/Refused","(VOL) Don't know/Refused","Very important but not the most","Yes","Several times a day","100",NA,"Not too closely","Strongly favor","Yes","Yes","No","No","Yes","Yes","Yes","3","Not employed",NA,"Yes","Own","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"46","NY","Pretty happy","Very important but not the most","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Every few days","1",NA,"Not too closely","Oppose","Yes","No","Yes","No","No","No","No",NA,"Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"20","NM","Pretty happy","One of the most important things","One of the most important things","Somewhat important","One of the most important things","Somewhat important","Not important","Very important but not the most","One of the most important things","Yes","Every few days","30",NA,"Very closely","Strongly oppose","No","No","No","Yes","No","Yes","No",NA,"Not employed",NA,"Yes","Live with parents","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"60","NJ","Very happy","Somewhat important","One of the most important things","Somewhat important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","One of the most important things","No",NA,"0",NA,"Fairly closely","(VOL) Don't know/Refused","Yes","No","No","No","No","Yes","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"80","MI","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Not too closely","Oppose","Yes","No","Yes",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
